addr	how	frozen	evidence
005e63d0	order	Script_Stub_QuestMapUpdateAllQuests	binding table name Script_Stub_QuestMapUpdateAllQuests, in definition order in src/ui/game/miscscriptstubs.cpp
005e7700	annotated	Script_KeyRingButtonIDToInvSlotID	tag in src/ui/game/CharacterInfoScript.cpp
005e7780	table	Script_HasInspectHonorData	binding "HasInspectHonorData" in s_ScriptFunctions ~ table 00ad1270
005e77c0	table	Script_GetInspectHonorData	binding "GetInspectHonorData" in s_ScriptFunctions ~ table 00ad1270
005e7890	table	Script_ClearInspectPlayer	binding "ClearInspectPlayer" in s_ScriptFunctions ~ table 00ad1270
005e7d60	table	Script_GetInventorySlotInfo	binding "GetInventorySlotInfo" in s_ScriptFunctions ~ table 00ad1270
005e7e60	table	Script_GetInventoryItemCooldown	binding "GetInventoryItemCooldown" in s_ScriptFunctions ~ table 00ad1270
005e7fa0	table	Script_GetInventoryAlertStatus	binding "GetInventoryAlertStatus" in s_ScriptFunctions ~ table 00ad1270
005e8030	table	Script_GetInspectArenaTeamData	binding "GetInspectArenaTeamData" in s_ScriptFunctions ~ table 00ad1270
005e95c0	table	Script_GetInventoryItemsForSlot	binding "GetInventoryItemsForSlot" in s_ScriptFunctions ~ table 00ad1270
005e9bc0	annotated	Script_GetInventoryItemTexture	tag in src/ui/game/CharacterInfoScript.cpp
005e9d80	annotated	Script_GetInventoryItemBroken	tag in src/ui/game/CharacterInfoScript.cpp
005e9e40	annotated	Script_GetInventoryItemCount	tag in src/ui/game/CharacterInfoScript.cpp
005ea040	annotated	Script_GetInventoryItemQuality	tag in src/ui/game/CharacterInfoScript.cpp
005ea170	annotated	Script_GetInventoryItemDurability	tag in src/ui/game/CharacterInfoScript.cpp
005ea270	table	Script_GetInventoryItemLink	binding "GetInventoryItemLink" in s_ScriptFunctions ~ table 00ad1270
005ea3e0	annotated	Script_GetInventoryItemID	tag in src/ui/game/CharacterInfoScript.cpp
005ea4f0	table	Script_GetInventoryItemGems	binding "GetInventoryItemGems" in s_ScriptFunctions ~ table 00ad1270
005ea5f0	table	Script_PickupInventoryItem	binding "PickupInventoryItem" in s_ScriptFunctions ~ table 00ad1270
005ea630	table	Script_UseInventoryItem	binding "UseInventoryItem" in s_ScriptFunctions ~ table 00ad1270
005ea6a0	table	Script_SocketInventoryItem	binding "SocketInventoryItem" in s_ScriptFunctions ~ table 00ad1270
005ea6e0	table	Script_IsInventoryItemLocked	binding "IsInventoryItemLocked" in s_ScriptFunctions ~ table 00ad1270
005ea780	table	Script_PutItemInBag	binding "PutItemInBag" in s_ScriptFunctions ~ table 00ad1270
005ea7f0	table	Script_PutItemInBackpack	binding "PutItemInBackpack" in s_ScriptFunctions ~ table 00ad1270
005ea840	table	Script_PickupBagFromSlot	binding "PickupBagFromSlot" in s_ScriptFunctions ~ table 00ad1270
005ea880	table	Script_CursorCanGoInSlot	binding "CursorCanGoInSlot" in s_ScriptFunctions ~ table 00ad1270
005ea930	table	Script_ShowInventorySellCursor	binding "ShowInventorySellCursor" in s_ScriptFunctions ~ table 00ad1270
