# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_009765d0 @ 009765d0 size=124
FUN_0097 | FUN_00976650 @ 00976650 size=67
FUN_0097 | FUN_009766a0 @ 009766a0 size=114
FUN_0097 | FUN_00976720 @ 00976720 size=67
FUN_0097 | FUN_00976770 @ 00976770 size=131
FUN_0097 | FUN_00976800 @ 00976800 size=68
FUN_0097 | FUN_00976850 @ 00976850 size=55
FUN_0097 | FUN_00976890 @ 00976890 size=70
FUN_0097 | FUN_009768e0 @ 009768e0 size=94
FUN_0097 | FUN_00976940 @ 00976940 size=94
FUN_0097 | FUN_009769a0 @ 009769a0 size=127
FUN_0097 | FUN_00976a20 @ 00976a20 size=67
FUN_0097 | FUN_00976a70 @ 00976a70 size=94
FUN_0097 | FUN_00976ad0 @ 00976ad0 size=25
FUN_0097 | FUN_00976af0 @ 00976af0 size=32
FUN_0097 | FUN_00976b10 @ 00976b10 size=37
FUN_0097 | FUN_00976b40 @ 00976b40 size=75
FUN_0097 | FUN_00976b90 @ 00976b90 size=94
FUN_0097 | FUN_00976bf0 @ 00976bf0 size=114
FUN_0097 | FUN_00976c70 @ 00976c70 size=344
FUN_0097 | FUN_00976dd0 @ 00976dd0 size=114
FUN_0097 | FUN_00976e50 @ 00976e50 size=344
FUN_0097 | FUN_00976fb0 @ 00976fb0 size=25
FUN_0097 | FUN_00976fd0 @ 00976fd0 size=102
FUN_0097 | FUN_00977040 @ 00977040 size=32
FUN_0097 | FUN_00977060 @ 00977060 size=37
FUN_0097 | FUN_00977090 @ 00977090 size=101
FUN_0097 | FUN_00977100 @ 00977100 size=101
FUN_0097 | FUN_00977170 @ 00977170 size=84
FUN_0097 | FUN_009771d0 @ 009771d0 size=162
FUN_0097 | FUN_00977280 @ 00977280 size=179
FUN_0097 | FUN_00977340 @ 00977340 size=257
FUN_0097 | FUN_00977450 @ 00977450 size=97
FUN_0097 | FUN_009774c0 @ 009774c0 size=257
FUN_0097 | FUN_009775d0 @ 009775d0 size=97
